Country,Population,GDP (Billion USD),Land Area (sq km)
China,1444216107,14722,9596960
India,1393409038,2875,3287263
United States,332915073,21433,9833517
Indonesia,276361783,1055,1904569
Pakistan,225199937,264,881912
Brazil,213993437,1445,8515767
Nigeria,211400708,448,923768
Bangladesh,166303498,302,147570
Russia,145912025,1710,17098242
Mexico,130262216,1185,1964375
